Day,"Campaign name",Reach,Frequency,Impressions,Views,Currency,"Amount spent (AUD)","Clicks (all)","Link clicks",Purchases,"Cost per purchase","Purchases conversion value","Reporting starts","Reporting ends"
2026-06-19,RB_Cocoon_Sales_Bundles_090226,2930,2.04982935,6006,6010,AUD,113.18,108,93,1,113.18,1947.29,2026-06-19,2026-06-19
2026-06-19,"RB | Traffic | Website",2232,1.05421147,2353,2357,AUD,15.09,101,91,,,,2026-06-19,2026-06-19
2026-06-19,"RB | Sales | ASC",1185,1.48945148,1765,1776,AUD,23.01,82,78,,,,2026-06-19,2026-06-19
2026-06-18,RB_Cocoon_Sales_Bundles_090226,2856,1.96988796,5626,5598,AUD,113.08,117,92,,,,2026-06-18,2026-06-18
2026-06-18,"RB | Traffic | Website",2004,1.10728543,2219,2227,AUD,16.84,100,94,,,,2026-06-18,2026-06-18
2026-06-18,"RB | Sales | ASC",1318,1.47116844,1939,1949,AUD,24.56,75,72,,,,2026-06-18,2026-06-18
2026-06-17,RB_Cocoon_Sales_Bundles_090226,3116,1.96630295,6127,6110,AUD,126.26,109,92,2,63.13,2855.63,2026-06-17,2026-06-17
2026-06-17,"RB | Traffic | Website",2161,1.13928737,2462,2460,AUD,15.3,71,56,,,,2026-06-17,2026-06-17
2026-06-17,"RB | Sales | ASC",1337,1.49364248,1997,2007,AUD,23.69,69,67,0,0,226.73,2026-06-17,2026-06-17
2026-06-17,"Instagram post: From the very first moment, they...",120,1.31666667,158,161,AUD,7.21,8,6,,,,2026-06-17,2026-06-17
2026-06-17,"Instagram post: There’s a kind of love that only...",169,1.15384615,195,198,AUD,7.21,5,3,,,,2026-06-17,2026-06-17
2026-06-16,RB_Cocoon_Sales_Bundles_090226,3846,1.8525741,7125,7029,AUD,135.55,119,88,2,67.775,2615.5,2026-06-16,2026-06-16
2026-06-16,"RB | Traffic | Website",1575,1.11809524,1761,1744,AUD,12.17,47,36,,,,2026-06-16,2026-06-16
2026-06-16,"RB | Sales | ASC",1374,1.46215429,2009,2024,AUD,28.47,80,78,,,,2026-06-16,2026-06-16
2026-06-16,"Instagram post: From the very first moment, they...",229,1.3580786,311,313,AUD,12.26,8,7,,,,2026-06-16,2026-06-16
2026-06-16,"Instagram post: There’s a kind of love that only...",248,1.20564516,299,299,AUD,11.91,17,13,,,,2026-06-16,2026-06-16
2026-06-15,RB_Cocoon_Sales_Bundles_090226,4493,1.79301135,8056,7971,AUD,136.69,139,109,2,68.345,1679.05,2026-06-15,2026-06-15
2026-06-15,"RB | Traffic | Website",2131,1.11309244,2372,2344,AUD,13.76,50,44,,,,2026-06-15,2026-06-15
2026-06-15,"RB | Sales | ASC",1512,1.48478836,2245,2268,AUD,26.59,112,108,0,0,3.11,2026-06-15,2026-06-15
2026-06-15,"Instagram post: From the very first moment, they...",248,1.3266129,329,333,AUD,12.11,14,10,,,,2026-06-15,2026-06-15
2026-06-15,"Instagram post: There’s a kind of love that only...",314,1.20063694,377,380,AUD,12.42,16,10,,,,2026-06-15,2026-06-15
2026-06-14,RB_Cocoon_Sales_Bundles_090226,4241,1.77434567,7525,7432,AUD,139.52,162,130,3,46.50666667,2503.27,2026-06-14,2026-06-14
2026-06-14,"RB | Traffic | Website",4348,1.09820607,4775,4779,AUD,20.04,97,83,,,,2026-06-14,2026-06-14
2026-06-14,"RB | Sales | ASC",1897,1.46863469,2786,2799,AUD,29.03,118,115,,,,2026-06-14,2026-06-14
2026-06-14,"Instagram post: From the very first moment, they...",292,1.2739726,372,374,AUD,13.47,11,7,,,,2026-06-14,2026-06-14
2026-06-14,"Instagram post: There’s a kind of love that only...",341,1.24926686,426,431,AUD,11.54,10,8,,,,2026-06-14,2026-06-14
2026-06-13,RB_Cocoon_Sales_Bundles_090226,3434,1.645894,5652,5580,AUD,102.17,101,83,0,0,34.24,2026-06-13,2026-06-13
2026-06-13,"RB | Traffic | Website",2658,1.21708051,3235,3227,AUD,18.33,103,79,,,,2026-06-13,2026-06-13
2026-06-13,"RB | Sales | ASC",1360,1.44411765,1964,1973,AUD,20.56,70,69,,,,2026-06-13,2026-06-13
2026-06-13,"Instagram post: From the very first moment, they...",362,1.27900552,463,469,AUD,11.11,14,10,,,,2026-06-13,2026-06-13
2026-06-13,"Instagram post: There’s a kind of love that only...",319,1.14733542,366,368,AUD,8.93,11,11,,,,2026-06-13,2026-06-13
2026-06-12,RB_Cocoon_Sales_Bundles_090226,4148,1.81171649,7515,7429,AUD,145.69,172,129,1,145.69,407.67,2026-06-12,2026-06-12
2026-06-12,"RB | Traffic | Website",1503,1.17165669,1761,1760,AUD,10.68,93,87,,,,2026-06-12,2026-06-12
2026-06-12,"RB | Sales | ASC",1232,1.51136364,1862,1868,AUD,24.2,60,55,1,24.2,1708.34,2026-06-12,2026-06-12
2026-06-12,"Instagram post: From the very first moment, they...",195,1.31282051,256,258,AUD,9.77,11,7,,,,2026-06-12,2026-06-12
2026-06-12,"Instagram post: There’s a kind of love that only...",369,1.20054201,443,447,AUD,11,24,19,,,,2026-06-12,2026-06-12
2026-06-11,RB_Cocoon_Sales_Bundles_090226,4295,1.60442375,6891,6517,AUD,110.1,83,68,0,0,7.77,2026-06-11,2026-06-11
2026-06-11,"RB | Traffic | Website",1948,1.24897331,2433,2441,AUD,13.71,137,129,,,,2026-06-11,2026-06-11
2026-06-11,"RB | Sales | ASC",1301,1.53804766,2001,2007,AUD,25.41,57,52,,,,2026-06-11,2026-06-11
2026-06-11,"Instagram post: From the very first moment, they...",270,1.32962963,359,363,AUD,11.07,14,10,,,,2026-06-11,2026-06-11
2026-06-11,"Instagram post: There’s a kind of love that only...",281,1.24199288,349,352,AUD,9.8,25,18,,,,2026-06-11,2026-06-11
2026-06-10,RB_Cocoon_Sales_Bundles_090226,3952,1.72140688,6803,6621,AUD,107.69,167,147,1,107.69,1121.98,2026-06-10,2026-06-10
2026-06-10,"RB | Traffic | Website",2193,1.29457364,2839,2845,AUD,14.33,188,179,,,,2026-06-10,2026-06-10
2026-06-10,"RB | Sales | ASC",1400,1.44928571,2029,2037,AUD,22.94,66,56,,,,2026-06-10,2026-06-10
2026-06-10,"Instagram post: From the very first moment, they...",237,1.30379747,309,311,AUD,8.34,9,5,,,,2026-06-10,2026-06-10
2026-06-10,"Instagram post: There’s a kind of love that only...",329,1.29787234,427,429,AUD,11.13,15,14,,,,2026-06-10,2026-06-10
2026-06-09,RB_Cocoon_Sales_Bundles_090226,3416,1.80474239,6165,6218,AUD,106.94,166,151,1,106.94,2138.15,2026-06-09,2026-06-09
2026-06-09,"RB | Traffic | Website",2280,1.25219298,2855,2863,AUD,14.13,149,146,,,,2026-06-09,2026-06-09
2026-06-09,"RB | Sales | ASC",1569,1.50478011,2361,2371,AUD,27.29,70,68,,,,2026-06-09,2026-06-09
2026-06-08,RB_Cocoon_Sales_Bundles_090226,3781,1.67839196,6346,6370,AUD,104.56,159,138,3,34.85333333,2754.87,2026-06-08,2026-06-08
2026-06-08,"RB | Traffic | Website",2363,1.34617012,3181,3187,AUD,15.63,151,155,,,,2026-06-08,2026-06-08
2026-06-08,"RB | Sales | ASC",1569,1.4404079,2260,2272,AUD,24.87,86,78,1,24.87,1064.38,2026-06-08,2026-06-08
2026-06-07,RB_Cocoon_Sales_Bundles_090226,4139,1.68253201,6964,7010,AUD,120.72,252,223,1,120.72,1212.94,2026-06-07,2026-06-07
2026-06-07,"RB | Traffic | Website",2818,1.28566359,3623,3627,AUD,18.11,182,177,,,,2026-06-07,2026-06-07
2026-06-07,"RB | Sales | ASC",1884,1.43524416,2704,2711,AUD,29.3,80,78,,,,2026-06-07,2026-06-07
2026-06-06,RB_Cocoon_Sales_Bundles_090226,3978,1.65057818,6566,6606,AUD,118.26,181,161,2,59.13,1876.32,2026-06-06,2026-06-06
2026-06-06,"RB | Traffic | Website",2426,1.24608409,3023,3031,AUD,14.51,154,145,1,14.51,889.21,2026-06-06,2026-06-06
2026-06-06,"RB | Sales | ASC",1458,1.41289438,2060,2064,AUD,23.94,67,67,,,,2026-06-06,2026-06-06
2026-06-05,RB_Cocoon_Sales_Bundles_090226,4046,1.72614928,6984,6998,AUD,111.72,184,165,1,111.72,310.83,2026-06-05,2026-06-05
2026-06-05,"RB | Traffic | Website",2260,1.24690265,2818,2832,AUD,15.3,168,165,,,,2026-06-05,2026-06-05
2026-06-05,"RB | Sales | ASC",1196,1.47157191,1760,1763,AUD,21.2,49,48,,,,2026-06-05,2026-06-05
2026-06-04,RB_Cocoon_Sales_Bundles_090226,3779,1.77533739,6709,6730,AUD,105.45,176,151,1,105.45,540.58,2026-06-04,2026-06-04
2026-06-04,"RB | Traffic | Website",2067,1.2743106,2634,2641,AUD,12.99,121,120,,,,2026-06-04,2026-06-04
2026-06-04,"RB | Sales | ASC",1394,1.4713056,2051,2057,AUD,22.52,63,63,,,,2026-06-04,2026-06-04
2026-06-03,RB_Cocoon_Sales_Bundles_090226,3801,1.78558274,6787,6803,AUD,111.15,223,191,1,111.15,93.18,2026-06-03,2026-06-03
2026-06-03,"RB | Traffic | Website",2579,1.25707639,3242,3244,AUD,14.63,153,153,,,,2026-06-03,2026-06-03
2026-06-03,"RB | Sales | ASC",1117,1.50581916,1682,1688,AUD,22.05,56,56,1,22.05,972.16,2026-06-03,2026-06-03
2026-06-02,RB_Cocoon_Sales_Bundles_090226,4018,1.79243405,7202,7221,AUD,122.18,256,222,1,122.18,767.55,2026-06-02,2026-06-02
2026-06-02,"RB | Traffic | Website",2720,1.2875,3502,3506,AUD,15.24,183,177,,,,2026-06-02,2026-06-02
2026-06-02,"RB | Sales | ASC",1159,1.46333046,1696,1698,AUD,23.43,73,69,0,0,150.45,2026-06-02,2026-06-02
2026-06-01,RB_Cocoon_Sales_Bundles_090226,3290,1.63677812,5385,5404,AUD,79.19,245,218,1,79.19,1941.94,2026-06-01,2026-06-01
2026-06-01,"RB | Traffic | Website",2565,1.21676413,3121,3121,AUD,14.9,167,163,,,,2026-06-01,2026-06-01
2026-06-01,"RB | Sales | ASC",1621,1.56693399,2540,2545,AUD,29.6,85,80,,,,2026-06-01,2026-06-01
